row_id,task,module,block,hook,spatial_region,imagined_timestep,task_variable,linear_score,nonlinear_gain,best_coordinate_frame,geometry,cross_trajectory_stability,regime_dependence,causal_patch_effect,specificity,manifold_distance,recommended_operator,field_status,sources
reach-wall/encoder/block-0/spatial-mean/action_chunk_frobenius_magnitude,reach-wall,encoder,0,block_residual_output,mean_of_256_spatial_tokens,,action_chunk_frobenius_magnitude,"{""metric"": ""r2"", ""score"": 0.4484450607659428, ""time_baseline"": 0.4725658231754639, ""delta_vs_time"": -0.0241207624095211}",,,"{""participation_ratio"": 14.823140949815576, ""top10_variance_fraction"": 0.5746330096217993, ""adjacent_timestep_cosine_mean"": 0.9987112213199321}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[15]""}]"
reach-wall/encoder/block-0/spatial-mean/action_dx,reach-wall,encoder,0,block_residual_output,mean_of_256_spatial_tokens,,action_dx,"{""metric"": ""r2"", ""score"": -0.05810517094371259, ""time_baseline"": 0.0033910809446688894, ""delta_vs_time"": -0.06149625188838148}",,,"{""participation_ratio"": 14.823140949815576, ""top10_variance_fraction"": 0.5746330096217993, ""adjacent_timestep_cosine_mean"": 0.9987112213199321}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[12]""}]"
reach-wall/encoder/block-0/spatial-mean/action_dy,reach-wall,encoder,0,block_residual_output,mean_of_256_spatial_tokens,,action_dy,"{""metric"": ""r2"", ""score"": 0.607911496873959, ""time_baseline"": 0.6287213192564175, ""delta_vs_time"": -0.020809822382458543}",,,"{""participation_ratio"": 14.823140949815576, ""top10_variance_fraction"": 0.5746330096217993, ""adjacent_timestep_cosine_mean"": 0.9987112213199321}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[13]""}]"
reach-wall/encoder/block-0/spatial-mean/action_dz,reach-wall,encoder,0,block_residual_output,mean_of_256_spatial_tokens,,action_dz,"{""metric"": ""r2"", ""score"": -0.030934204187622383, ""time_baseline"": 0.02788791500905774, ""delta_vs_time"": -0.05882211919668012}",,,"{""participation_ratio"": 14.823140949815576, ""top10_variance_fraction"": 0.5746330096217993, ""adjacent_timestep_cosine_mean"": 0.9987112213199321}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[14]""}]"
reach-wall/encoder/block-0/spatial-mean/cumulative_progress,reach-wall,encoder,0,block_residual_output,mean_of_256_spatial_tokens,,cumulative_progress,"{""metric"": ""r2"", ""score"": 0.926147892776956, ""time_baseline"": 0.9222151817810877, ""delta_vs_time"": 0.003932710995868227}",,,"{""participation_ratio"": 14.823140949815576, ""top10_variance_fraction"": 0.5746330096217993, ""adjacent_timestep_cosine_mean"": 0.9987112213199321}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[1]""}, {""path"": ""artifacts/geometry_map/reach_wall_v1/emergence-geometry/emergence_geometry.json"", ""item"": ""curves.encoder.progress.rows.layer=0""}]"
reach-wall/encoder/block-0/spatial-mean/expert_detour_gate,reach-wall,encoder,0,block_residual_output,mean_of_256_spatial_tokens,,expert_detour_gate,"{""metric"": ""auroc"", ""score"": 0.9957078780419468, ""time_baseline"": 0.978149765850144, ""delta_vs_time"": 0.01755811219180281}",,,"{""participation_ratio"": 14.823140949815576, ""top10_variance_fraction"": 0.5746330096217993, ""adjacent_timestep_cosine_mean"": 0.9987112213199321}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[11]""}]"
reach-wall/encoder/block-0/spatial-mean/goal_distance,reach-wall,encoder,0,block_residual_output,mean_of_256_spatial_tokens,,goal_distance,"{""metric"": ""r2"", ""score"": 0.9052688708022254, ""time_baseline"": 0.908897827090231, ""delta_vs_time"": -0.003628956288005636}",,,"{""participation_ratio"": 14.823140949815576, ""top10_variance_fraction"": 0.5746330096217993, ""adjacent_timestep_cosine_mean"": 0.9987112213199321}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[0]""}]"
reach-wall/encoder/block-0/spatial-mean/goal_vector_x,reach-wall,encoder,0,block_residual_output,mean_of_256_spatial_tokens,,goal_vector_x,"{""metric"": ""r2"", ""score"": 0.054274630584211336, ""time_baseline"": 0.08054582471970773, ""delta_vs_time"": -0.02627119413549639}",,,"{""participation_ratio"": 14.823140949815576, ""top10_variance_fraction"": 0.5746330096217993, ""adjacent_timestep_cosine_mean"": 0.9987112213199321}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[5]""}]"
reach-wall/encoder/block-0/spatial-mean/goal_vector_y,reach-wall,encoder,0,block_residual_output,mean_of_256_spatial_tokens,,goal_vector_y,"{""metric"": ""r2"", ""score"": 0.9517338545794807, ""time_baseline"": 0.9568517433439947, ""delta_vs_time"": -0.0051178887645140225}",,,"{""participation_ratio"": 14.823140949815576, ""top10_variance_fraction"": 0.5746330096217993, ""adjacent_timestep_cosine_mean"": 0.9987112213199321}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[6]""}]"
reach-wall/encoder/block-0/spatial-mean/goal_vector_z,reach-wall,encoder,0,block_residual_output,mean_of_256_spatial_tokens,,goal_vector_z,"{""metric"": ""r2"", ""score"": 0.09942443702516224, ""time_baseline"": 0.044334510544640326, ""delta_vs_time"": 0.05508992648052191}",,,"{""participation_ratio"": 14.823140949815576, ""top10_variance_fraction"": 0.5746330096217993, ""adjacent_timestep_cosine_mean"": 0.9987112213199321}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[7]""}]"
reach-wall/encoder/block-0/spatial-mean/goal_xz_direction,reach-wall,encoder,0,block_residual_output,mean_of_256_spatial_tokens,,goal_xz_direction,"{""metric"": ""r2"", ""score"": 0.16136937821480096, ""time_baseline"": null, ""delta_vs_time"": null}",,,,,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""pending_measurement"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/emergence-geometry/emergence_geometry.json"", ""item"": ""curves.encoder.goal_xz_direction.rows.layer=0""}]"
reach-wall/encoder/block-0/spatial-mean/hand_to_goal_segment_intersects_wall,reach-wall,encoder,0,block_residual_output,mean_of_256_spatial_tokens,,hand_to_goal_segment_intersects_wall,"{""metric"": ""auroc"", ""score"": 0.9669419840606991, ""time_baseline"": 0.9019247457737662, ""delta_vs_time"": 0.06501723828693284}",,,"{""participation_ratio"": 14.823140949815576, ""top10_variance_fraction"": 0.5746330096217993, ""adjacent_timestep_cosine_mean"": 0.9987112213199321}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[10]""}]"
